tempo,largura
5.944,0.997663
5.952,1.00519
5.96,0.998118
5.968,0.996057
5.976,1.00548
5.984,0.997375
5.992,1.00222
6.0,1.00342
6.008,0.999293
6.016,1.00579
6.024,0.996057
6.032,0.99855
6.04,1.00579
6.048,0.995745
6.056,1.00622
6.064,1.0009
6.072,0.998118
6.08,0.999724
6.088,0.995769
6.096,1.00087
6.104,1.00191
6.112,0.996944
6.12,1.0033
6.128,0.996512
6.136,1.00224
6.144,1.00037
6.152,0.993372
6.16,1.00713
6.168,1.00016
6.176,0.998118
6.184,1.00572
6.192,0.995338
6.2,1.00572
6.208,0.99855
6.216,0.992869
6.224,1.00296
6.232,0.999508
6.24,1.00016
6.248,1.00342
6.256,0.995242
6.264,1.00622
6.272,0.995338
6.28,0.994906
6.288,1.00622
6.296,0.995769
6.304,1.00179
6.312,1.0009
6.32,0.995338
6.328,0.999748
6.336,0.996249
6.344,1.0009
6.352,1.00207
6.36,0.994163
6.368,1.00548
6.376,0.997183
6.384,0.996512
6.392,1.00016
6.4,0.995242
6.408,1.0014
6.416,1.00133
6.424,0.994163
6.432,1.00385
6.44,0.996944
6.448,1.00416
6.456,0.99855
6.464,0.993372
6.472,1.00579
6.48,0.998981
6.488,1.00061
6.496,1.00713
6.504,0.997663
6.512,1.00505
6.52,0.996369
6.528,0.995745
6.536,1.00519
6.544,0.998142
6.552,1.00037
6.56,1.00277
6.568,0.997111
6.576,1.0033
6.584,0.995242
6.592,0.995242
6.6,1.00605
6.608,0.996057
6.616,1.00416
6.624,1.00224
6.632,1.00037
6.64,1.00385
6.648,0.997615
6.656,0.998981
6.664,1.00087
6.672,0.99203
6.68,1.00605
6.688,0.997111
6.696,1.00191
6.704,1.0014
6.712,0.991
6.72,1.00224
6.728,0.999508
6.736,0.998142
6.744,1.00385
6.752,0.996249
6.76,1.00016
6.768,1.0014
6.776,0.993372
6.784,1.00787
6.792,0.998981
6.8,1.00001
6.808,1.0033
6.816,0.997615
6.824,1.00466
6.832,0.998981
6.84,0.996608
6.848,1.0085
6.856,0.997111
6.864,1.0014
6.872,1.0014
6.88,0.998478
6.888,1.0033
6.896,0.997111
6.904,1.00222
6.912,1.00519
6.92,0.997111
6.928,1.00711
6.936,1.00061
6.944,1.00087
6.952,1.00253
6.96,0.993876
6.968,1.0014
6.976,1.00277
6.984,0.995242
6.992,1.0038
7.0,0.998478
7.008,1.0038
7.016,1.0009
7.024,0.992869
7.032,1.00658
7.04,0.998478
7.048,1.00037
7.056,1.00658
7.064,0.998118
7.072,1.0033
7.08,0.999293
7.088,0.993732
7.096,1.0038
7.104,0.995745
7.112,1.00277
7.12,1.00001
7.128,0.997111
7.136,1.00277
7.144,1.00001
7.152,0.995769
7.16,1.00466
7.168,0.995242
7.176,1.00797
7.184,1.00001
7.192,0.999508
7.2,1.00037
7.208,0.995242
7.216,1.00037
7.224,1.00191
7.232,0.993876
7.24,1.00416
7.248,0.998118
7.256,1.0038
7.264,0.998981
7.272,0.993301
7.28,1.00505
7.288,0.998478
7.296,0.996249
7.304,1.00466
7.312,0.99855
7.32,1.0033
7.328,1.00191
7.336,0.992534
7.344,1.00761
7.352,0.999508
7.36,0.999508
7.368,1.00416
7.376,1.01375
7.384,1.01041
7.392,1.00416
7.4,1.00037
7.408,1.0095
7.416,0.997111
7.424,1.00658
7.432,1.00191
7.44,1.00253
7.448,0.999724
7.456,0.997615
7.464,1.00224
7.472,1.0038
7.48,0.993372
7.488,1.00713
7.496,0.996944
7.504,1.00179
7.512,1.00001
7.52,0.994163
7.528,1.00277
7.536,1.00016
7.544,0.996057
7.552,1.00572
7.56,0.998142
7.568,1.0038
7.576,1.00037
7.584,0.995242
7.592,1.00505
7.6,0.998981
7.608,1.00087
7.616,1.00579
7.624,0.997615
7.632,1.00505
7.64,0.997111
7.648,0.992869
7.656,1.00296
7.664,0.997615
7.672,1.00037
7.68,1.00224
7.688,0.996944
7.696,1.0033
7.704,0.998981
7.712,0.997663
7.72,1.00222
7.728,0.994451
7.736,1.00787
7.744,0.999508
7.752,1.0014
7.76,1.00191
7.768,0.996057
7.776,1.00061
7.784,1.00133
7.792,0.995242
7.8,1.00548
