tempo, vel
5.607956, -1.162014
5.615956, -1.152283
5.623956, -1.143894
5.631956, -1.132892
5.639956, -1.128937
5.647956, -1.118224
5.655956, -1.109068
5.663956, -1.109619
5.671956, -1.095238
5.679955, -1.087616
5.687955, -1.078124
5.695955, -1.073882
5.703955, -1.065517
5.711955, -1.051160
5.719955, -1.049410
5.727955, -1.040422
5.735955, -1.028869
5.743955, -1.020408
5.751955, -1.015399
5.759954, -1.014368
5.767954, -0.993731
5.775954, -0.990664
5.783954, -0.986541
5.791954, -0.974605
5.799954, -0.967989
5.807954, -0.957491
5.815954, -0.951619
5.823954, -0.948048
5.831954, -0.928825
5.839953, -0.922401
5.847953, -0.921515
5.855953, -0.911400
5.863953, -0.898505
5.871953, -0.895317
5.879953, -0.885130
5.887953, -0.877580
5.895953, -0.876741
5.903953, -0.857902
5.911952, -0.854283
5.919952, -0.850544
5.927952, -0.835636
5.935952, -0.827103
5.943952, -0.823603
5.951952, -0.814495
5.959952, -0.805579
5.967952, -0.803710
5.975952, -0.785158
5.983952, -0.777848
5.991951, -0.784199
5.999951, -0.766822
6.007951, -0.758913
6.015951, -0.748846
6.023951, -0.745059
6.031951, -0.732619
6.039951, -0.725117
6.047951, -0.725285
6.055951, -0.708723
6.063951, -0.697793
6.071950, -0.696091
6.079950, -0.690722
6.087950, -0.678187
6.095950, -0.669199
6.103950, -0.660450
6.111950, -0.654554
6.119950, -0.644775
6.127950, -0.638950
6.135950, -0.636026
6.143950, -0.625888
6.151949, -0.610812
6.159949, -0.603453
6.167949, -0.598348
6.175949, -0.595040
6.183949, -0.584063
6.191949, -0.576009
6.199949, -0.561964
6.207949, -0.558416
6.215949, -0.554246
6.223948, -0.541015
6.231948, -0.534951
6.239948, -0.527545
6.247948, -0.524693
6.255948, -0.513236
6.263948, -0.498759
6.271948, -0.492288
6.279948, -0.482221
6.287948, -0.483108
6.295948, -0.473616
6.303947, -0.464484
6.311947, -0.454130
6.319947, -0.447419
6.327947, -0.437999
6.335947, -0.432390
6.343947, -0.424001
6.351947, -0.414845
6.359947, -0.407823
6.367947, -0.400009
6.375947, -0.391213
6.383946, -0.388121
6.391946, -0.381098
6.399946, -0.364967
6.407946, -0.356314
6.415946, -0.347206
6.423946, -0.345025
6.431946, -0.333616
6.439946, -0.331891
6.447946, -0.322495
6.455945, -0.316719
6.463945, -0.303800
6.471945, -0.294188
6.479945, -0.285727
6.487945, -0.278872
6.495945, -0.264467
6.503945, -0.262885
6.511945, -0.254736
6.519945, -0.246563
6.527945, -0.241841
6.535944, -0.229282
6.543944, -0.223649
6.551944, -0.217705
6.559944, -0.208789
6.567944, -0.200256
6.575944, -0.192778
6.583944, -0.184077
6.591944, -0.176120
6.599944, -0.170990
6.607944, -0.161906
6.615943, -0.155147
6.623943, -0.146471
6.631943, -0.136284
6.639943, -0.128614
6.647943, -0.119938
6.655943, -0.108409
6.663943, -0.101889
6.671943, -0.093788
6.679943, -0.087556
6.687943, -0.077106
6.695942, -0.068885
6.703942, -0.063564
6.711942, -0.053905
6.719942, -0.045611
6.727942, -0.035976
6.735942, -0.029792
6.743942, -0.025070
6.751942, -0.016178
6.759942, -0.005392
6.767941, -0.003235
6.775941, 0.023584
6.783941, 0.021595
6.791941, 0.041609
6.799941, 0.035161
6.807941, 0.043574
6.815941, 0.047673
6.823941, 0.055103
6.831941, 0.060017
6.839941, 0.067902
6.847940, 0.076770
6.855940, 0.085135
6.863940, 0.091823
6.871940, 0.097815
6.879940, 0.108265
6.887940, 0.118380
6.895940, 0.127080
6.903940, 0.134439
6.911940, 0.143906
6.919940, 0.153997
6.927939, 0.160732
6.935939, 0.170583
6.943939, 0.176359
6.951939, 0.186522
6.959939, 0.195175
6.967939, 0.199920
6.975939, 0.206751
6.983939, 0.215668
6.991939, 0.219958
6.999938, 0.229449
7.007938, 0.240283
7.015938, 0.249607
7.023938, 0.257061
7.031938, 0.266960
7.039938, 0.273360
7.047938, 0.281173
7.055938, 0.290329
7.063938, 0.292343
7.071938, 0.302601
7.079937, 0.313075
7.087937, 0.321776
7.095937, 0.325467
7.103937, 0.339776
7.111937, 0.343827
7.119937, 0.353294
7.127937, 0.358472
7.135937, 0.363265
7.143937, 0.373835
7.151937, 0.387785
7.159936, 0.397900
7.167936, 0.405809
7.175936, 0.411178
7.183936, 0.416979
7.191936, 0.421629
7.199936, 0.434212
7.207936, 0.443871
7.215936, 0.450463
7.223936, 0.457581
7.231936, 0.466929
7.239935, 0.470860
7.247935, 0.482556
7.255935, 0.489747
7.263935, 0.498016
7.271935, 0.502786
7.279935, 0.509569
7.287935, 0.521313
7.295935, 0.532962
7.303935, 0.540081
7.311934, 0.542933
7.319934, 0.551130
7.327934, 0.564456
7.335934, 0.570425
7.343934, 0.577543
7.351934, 0.583272
7.359934, 0.592595
7.367934, 0.604004
7.375934, 0.612393
7.383934, 0.616204
7.391933, 0.619608
7.399933, 0.634396
7.407933, 0.643816
7.415933, 0.644990
7.423933, 0.655345
7.431933, 0.668863
7.439933, 0.677468
7.447933, 0.679122
7.455933, 0.684395
7.463933, 0.699399
7.471932, 0.704145
7.479932, 0.712629
7.487932, 0.718741
7.495932, 0.732715
7.503932, 0.738827
7.511932, 0.739163
7.519932, 0.755964
7.527932, 0.762124
7.535932, 0.767062
7.543931, 0.778974
7.551931, 0.785470
7.559931, 0.792181
7.567931, 0.794650
7.575931, 0.815670
7.583931, 0.818546
7.591931, 0.821998
7.599931, 0.838799
7.607931, 0.841316
7.615931, 0.844983
7.623930, 0.860443
7.631930, 0.866075
7.639930, 0.865668
7.647930, 0.882973
7.655930, 0.891075
7.663930, 0.889996
7.671930, 0.909842
7.679930, 0.914540
7.687930, 0.918159
7.695930, 0.930167
7.703929, 0.932228
7.711929, 0.942631
7.719929, 0.953896
7.727929, 0.956844
7.735929, 0.969523
7.743929, 0.978200
7.751929, 0.982826
7.759929, 0.993875
7.767929, 0.996608
7.775928, 1.003415
7.783928, 1.022110
7.791928, 1.020720
7.799928, 1.036587
7.807928, 1.041021
7.815928, 1.048883
7.823928, 1.059165
7.831928, 1.060004
7.839928, 1.074385
7.847928, 1.080929
7.855927, 1.086753
7.863927, 1.099576
7.871927, 1.100631
7.879927, 1.112136
7.887927, 1.119662
7.895927, 1.132892
7.903927, 1.150988
7.911927, 1.132892
7.919927, 1.172872
7.927927, 1.166544
7.935926, 1.177498
7.943926, 1.158347
7.951926, 1.186845
7.959926, 1.203647
7.967926, 1.210095
7.975926, 1.211245
7.983926, 1.222654
7.991926, 1.224548
7.999926, 1.237011
8.007926, 1.242596
8.015926, 1.251536
8.023927, 1.261962
8.031927, 1.271023
8.039927, 1.272269
8.047928, 1.277853
8.055928, 1.290677
8.063929, 1.296884
8.071929, 1.311961
8.079929, 1.315316
8.087930, 1.321069
8.095930, 1.326294
8.103930, 1.338470
8.111931, 1.341753
8.119931, 1.354624
8.127932, 1.363061
8.135932, 1.368622
8.143932, 1.378976
8.151933, 1.378521
8.159933, 1.399709
8.167933, 1.394796
8.175934, 1.409129
8.183934, 1.409536
8.191935, 1.427584
8.199935, 1.427584
8.207935, 1.443452
8.215936, 1.453374
8.223936, 1.454237
8.231936, 1.466102
8.239937, 1.468762
8.247937, 1.486715
8.255938, 1.488536
8.263938, 1.499178
8.271938, 1.502342
8.279939, 1.517922
8.287939, 1.527461
8.295939, 1.527892
8.303940, 1.538894
8.311940, 1.541099
8.319941, 1.552748
8.327941, 1.561904
8.335941, 1.566506
8.343942, 1.577531
8.351942, 1.581222
8.359942, 1.589995
8.367943, 1.603513
8.375943, 1.605430
8.383944, 1.618062
8.391944, 1.597760
8.399944, 1.591577
8.407945, 1.590642
8.415945, 1.574247
8.423945, 1.569166
8.431946, 1.559986
8.439946, 1.547810
8.447947, 1.547810
8.455947, 1.533165
8.463947, 1.527844
8.471948, 1.514782
8.479948, 1.504092
8.487948, 1.505722
8.495949, 1.484006
8.503949, 1.481729
8.511950, 1.467324
8.519950, 1.469194
8.527950, 1.456562
8.535951, 1.449468
8.543951, 1.447406
8.551951, 1.432378
8.559952, 1.429430
8.567952, 1.416487
8.575953, 1.416487
8.583953, 1.404647
8.591953, 1.396138
8.599954, 1.382883
8.607954, 1.380702
8.615954, 1.371187
8.623955, 1.361791
8.631955, 1.360952
8.639956, 1.345468
8.647956, 1.346763
8.655956, 1.327900
8.663957, 1.327900
8.671957, 1.313135
8.679957, 1.311961
8.687958, 1.295590
8.695958, 1.295590
8.703959, 1.278980
8.711959, 1.280658
8.719959, 1.263592
8.727960, 1.263592
8.735960, 1.246982
8.743960, 1.247366
8.751961, 1.234303
8.759961, 1.230013
8.767962, 1.217309
8.775962, 1.215775
8.783962, 1.202353
8.791963, 1.193748
8.799963, 1.192670
8.807963, 1.173735
8.815964, 1.179990
8.823964, 1.160120
8.831964, 1.155111
8.839965, 1.143558
8.847965, 1.145572
8.855966, 1.130447
8.863966, 1.121124
8.871966, 1.116522
8.879967, 1.103675
8.887967, 1.100271
8.895967, 1.087616
